Stone,Column,Order,PID,Name,M/F,Birth date,Year of departure,Age at departure,Death date,Notes,Pioneer Database Link
12,Right,28,KWV3-V5C,"Abel, Isaac Cynosure",M,1863-06-10,1863,infant,5 October 1863,,https://history.churchofjesuschrist.org/chd/individual/isaac-cynosure-abel-1863
2,Center,6,LHVF-WV4,"Adams, Martha Ann Elizabeth",F,About 1852,1852,infant,25 July 1852,,https://history.churchofjesuschrist.org/chd/individual/martha-ann-elizabeth-adams-1850?
9,Center,1,KWVQ-RH3,"Allen, Elizabeth Christiana",F,1844-10-23,1859,14,24 July 1859,,https://history.churchofjesuschrist.org/chd/individual/elizabeth-christiana-allen-1844
2,Center,7,KWVG-7TP,"Allen, Jude",M,1851-06-27,1852,infant,29 July 1852,,https://history.churchofjesuschrist.org/chd/individual/jude-allen-jr-1851?
2,Center,1,KWVQ-99B,"Allred, Amelia Lorinda",F,1851-07-30,1851,infant,30 July 1851,,https://history.churchofjesuschrist.org/chd/individual/amelia-lorinda-allred-1851
10,Left,1,KNX6-Y8Q,"Allred, Andrew Jackson",M,1860-08-29,1861,infant,3 August 1861,,https://history.churchofjesuschrist.org/chd/individual/andrew-jackson-allred-1860
6,Right,26,9QL2-KRB,"Andersen, Anders Nielson",M,1847-08-16,1856,About 8 ,1856,"Exact date not recorded, but data indicates that he died on the trail. ",https://history.churchofjesuschrist.org/chd/individual/anders-nielson-andersen-1847
15,Right,19,LHPW-G6P,"Andersen, Jens Peter",M,1856-12-08,1868,11,October 1868,"May not have died on trail. Exact date of death not confirmed. FamilySearch shows his place of death and burial as Ephraim, Utah.",https://history.churchofjesuschrist.org/chd/individual/jens-peter-andersen-1856
12,Right,29,KJ57-9SP,"Andersen, Poul Jensen",M,1861-02-03,1863,2,12 July 1863,,https://history.churchofjesuschrist.org/chd/individual/poul-jensen-andersen-1861
12,Right,30,KCZF-XZT,"Anderson, Johanna Marie",F,1857-02-26,1863,6,About 1863,May not have died on trail. Death date on FamilySearch is list 1862-1864. Database does not indicate that she died on the trail. ,https://history.churchofjesuschrist.org/chd/individual/johanna-marie-anderson-1857
12,Right,31,K2QF-3XR,"Anderson, John Alfred",M,1859-08-22,1863,3,About 1863,May not have died on trail. FamilySearch gives a death date of 1 June 1863 without any supporting documentation. The company the family traveled with has not been determined either so we don't know for sure when they departed. Pioneer Database does not show that he died en route. ,https://history.churchofjesuschrist.org/chd/individual/john-alfred-anderson-1859
2,Center,8,KWVC-CPZ,"Andrews, Sarah Ann ",F,1850-08-06,1852,1,11 July 1852,,https://history.churchofjesuschrist.org/chd/individual/sarah-ann-andrews-1850
14,Right,27,K4BQ-Y7N,"Arlekulen, Charlotta Christina Warnick",F,1865-05-13,1866,1,22 September 1866,,https://history.churchofjesuschrist.org/chd/individual/charlotta-christina-arlekulen-1865
6,Right,27,LZZK-M29,"Ashton, Betsy",F,1844-12-26,1856,11,1856,,https://history.churchofjesuschrist.org/chd/individual/betsy-ashton-1844
6,Right,28,LZXT-F1Z,"Ashton, Sarah Ann",F,1856-08-26,1856,infant,11 September 1856,,https://history.churchofjesuschrist.org/chd/individual/sarah-ann-ashton-1856
12,Right,32,KWVQ-SQ4,"Atkinson, Fanny Eliza",F,1862-08-02,1863,infant,27 July 1863,May not have died on the trail. We do not know with which company the family traveled. She may have died before the trek began.,https://history.churchofjesuschrist.org/chd/individual/fanny-eliza-atkinson-1862
10,Right,32,KGC8-GRR,"Bachman, Sarah",F,October 1862,1862,infant,October 1862,,https://history.churchofjesuschrist.org/chd/individual/sarah-bachman-1862
10,Left,2,KWVR-F7C,"Backhouse, Sarah Jane",F,1861-03-08,1861,infant,16 August 1861,,https://history.churchofjesuschrist.org/chd/individual/sarah-jane-backhouse-1861
14,Right,28,KWJN-3YV,"Backman, Carl Otto Edwin",M,About 1861,1866,About 5,1866,,https://history.churchofjesuschrist.org/chd/individual/carl-otto-edwin-backman-1861
5,Right,15,24ZB-Y39,"Bagley, Cyrenius",M,1843-10-06,1855,11,23 June 1855,,https://history.churchofjesuschrist.org/chd/individual/cyrenius-bagley-1843
8,Center,1,LWRY-SJX,"Banford, John",M,1852-10-02,1857,4,July 1857,,https://history.churchofjesuschrist.org/chd/individual/john-banford-1852
8,Center,2,L7BR-PBV,"Banford, Richard George",M,1853-12-14,1857,3,18 June 1857,,https://history.churchofjesuschrist.org/chd/individual/richard-banford-1853
10,Left,3,K27B-F34,"Barlow, Abraham",M,1861-05-23,1861,infant,5 August 1861,,https://history.churchofjesuschrist.org/chd/individual/abraham-barlow-1861
4,Right,28,KJ45-V9S,"Barnes, Ellen Perryman",F,1846-09-09,1853,4,7 October 1853,,https://history.churchofjesuschrist.org/chd/individual/ellen-perryman-barnes-1846
1,Right,55,K2WM-XWG,"Barnum, Fanny Ester ",F,1849-03-07,1850,1,27 June 1850,,https://history.churchofjesuschrist.org/chd/individual/fanny-esther-barnum-1849
15,Right,20,KWV8-S1Y,"Barrett, Joseph Hyrum",M,1866-09-27,1868,1,9 August 1868,,https://history.churchofjesuschrist.org/chd/individual/joseph-hyrum-barrett-1866
12,Right,33,KWVG-M7N,"Barton, Jane",F,1860-05-31,1863,2,1863,,https://history.churchofjesuschrist.org/chd/individual/jane-barton-1860
2,Center,9,KWV5-PX1,"Beal, William Francis",M,1850-06-30,1852,1,12 July 1852,,https://history.churchofjesuschrist.org/chd/individual/william-francis-beal-1850
12,Right,34,LHG4-WPK,"Bell, Edward James",M,About 1861,1863,About 2,22 August 1863,,https://history.churchofjesuschrist.org/chd/individual/edward-james-bell-1861
14,Right,29,KWJ4-BJD,"Bell, George Edward",M,1865-02-26,1866,1,8 August 1866,,https://history.churchofjesuschrist.org/chd/individual/george-edward-bell-1865
1,Right,56,KWVC-Z1T,"Belnap, John McBride ",M,1849-05-11,1850,1,22 June 1850,,https://history.churchofjesuschrist.org/chd/individual/john-mcbride-belnap-1849
14,Right,30,KWVG-V3R,"Bengtson, Charlotte",F,1848-08-15,1866,18,8 September 1866,Age 18 at the time of her death and engaged to be married. ,https://history.churchofjesuschrist.org/chd/individual/charlotta-bengtson-1848
1,Right,32,LLMM-9JM,"Bennion, Ann",F,1845-11-19,1847,1,7 September 1847,,https://history.churchofjesuschrist.org/chd/individual/ann-bennion-1845
8,Center,3,KCK8-BGW,"Bertelsen, Johannes Peter",M,1842-05-04,1857,15,1857,May not have died on trail. May have reached Utah before his death. Not represented in pioneer database as having died on trail.,https://history.churchofjesuschrist.org/chd/individual/johannes-peter-bertelsen-1842
4,Right,29,KLQZ-85W,"Bickington, Frances Hannah",F,1846-12-23,1853,6,17 July 1853,,https://history.churchofjesuschrist.org/chd/individual/frances-hannah-bickington-1846
10,Right,33,KWVC-QMM,"Biddle, Amanda",F,1860-11-24,1862,1,2 October 1862,,https://history.churchofjesuschrist.org/chd/individual/amanda-biddle-1860
8,Center,4,LV1P-QN7,"Billings, Marion",M,1857-09-23,1857,infant,12 October 1857,,https://history.churchofjesuschrist.org/chd/individual/marion-billings-1857
5,Right,16,KCYR-FTF,"Birch, Mary",F,1854-03-13,1855,1,3 September 1855,,https://history.churchofjesuschrist.org/chd/individual/mary-birch-1854
1,Right,57,K2M5-LXM,"Bird, Julia Ann ",F,1850-08-17,1850,infant,17 August 1850,,https://history.churchofjesuschrist.org/chd/individual/julia-ann-bird-1850
